feature,people_fully_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_vaccinated_per_hundred,distributed_per_hundred,distributed_per_hundred,share_doses_used,share_doses_used
spearman,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value
StateFIPS,,,,,,,,,,
13,-0.9375338041771702,3.323948317751918e-35,-0.9378383742634969,2.795958497219906e-35,-0.9376440867885054,3.1224560246481403e-35,-0.9331864248806964,3.585267065056651e-34,-0.6933984344551533,5.388076002163488e-12
15,-0.27371065855884635,0.01749389243827808,-0.37853225109671484,0.0008120325722100499,-0.2610818221411094,0.02366941445752462,-0.37373332128643133,0.0009571868531823124,-0.45230387299460517,4.6233135468018316e-05
16,-0.31556059288506766,0.005819603385893705,-0.31460769892167756,0.0059777789472903,-0.31460769892167756,0.0059777789472903,-0.3215273157803628,0.004910531776317989,-0.32090365985721253,0.004999270106686225
17,-0.6650922949547883,7.605917235546418e-11,-0.6650448852412474,7.637888222978183e-11,-0.6650448852412474,7.637888222978183e-11,-0.6590342013094026,1.2921130816499608e-10,-0.7585130124675045,3.221714034808324e-15
18,-0.8255747864113369,8.113231643775781e-20,-0.8255404586809283,8.166436072293102e-20,-0.8255404586809283,8.166436072293102e-20,-0.8209854451191806,1.9200328446095545e-19,-0.8175519159488372,3.599992714883838e-19
19,-0.5012911257462779,4.626486072204567e-06,-0.5015721033462327,4.561027834094562e-06,-0.5014262646221178,4.594894112467401e-06,-0.5001459191652695,4.9025022255599455e-06,-0.5715515406785745,8.527106666221765e-08
20,-0.4181499985403785,0.00018918126617475692,-0.4169456972816016,0.00019828476474355197,-0.41727214712988986,0.00019577807452790812,-0.4212251229521208,0.00016765245684803972,-0.392037870975356,0.0005042705364684181
21,-0.8848265887070762,6.413635230303027e-26,-0.8848345203449272,6.398460617694031e-26,-0.8848345203449272,6.398460617694031e-26,-0.8800558910317726,2.58567616714598e-25,-0.9282874057520516,4.3469754296888346e-33
22,-0.6002514776665558,1.2554560427454971e-08,-0.6000432536103104,1.2738966994980448e-08,-0.5986198125971418,1.4070331074533014e-08,-0.6032148179195291,1.0190252795415861e-08,-0.4926377997664895,7.131535317164552e-06
23,-0.5144341508106193,2.3432000600702305e-06,-0.5139012770205974,2.4100641538582467e-06,-0.5133746877895364,2.4778980742405485e-06,-0.5137665769539866,2.4272477921009845e-06,-0.574778910064967,6.937362706473756e-08
24,-0.640827389984655,5.921853751607461e-10,-0.640827389984655,5.921853751607461e-10,-0.6407801535543071,5.944509593338244e-10,-0.6351126857866694,9.354850602182811e-10,-0.7190769906420651,3.7023584092973025e-13
25,-0.6494510961777253,2.916389503949712e-10,-0.6494322465577238,2.9209801024615906e-10,-0.6494276267466859,2.9221062551624757e-10,-0.6473912996403749,3.461049942177488e-10,-0.6880096240845962,9.126610605911273e-12
26,0.1894308474371091,0.10358003352566782,0.18944374809414297,0.10355608515080747,0.18944374809414297,0.10355608515080747,0.1895144498168481,0.10342491321354068,-0.2773699085473743,0.015986445106409026
27,-0.046037843598325315,0.6949023449647824,-0.04549690247448252,0.6983137699611301,-0.04566729767381388,0.6972385310981107,-0.03440179546611712,0.7695137139357642,-0.23647240554856874,0.04109380409501398
28,-0.8518758339262834,3.403544551022828e-22,-0.8517356720409511,3.5139298660255624e-22,-0.8521848662476528,3.171892584585325e-22,-0.8468688969901046,1.043400613216181e-21,-0.8509347343119746,4.2143563785676125e-22
29,-0.6991554749134351,3.0293563847583905e-12,-0.6990592168383355,3.059004917710808e-12,-0.6987090035422239,3.169241449580096e-12,-0.6946685057190191,4.750767958162472e-12,-0.5594899083507194,1.8085933444860457e-07
30,-0.6186834939741246,3.309512663743589e-09,-0.6190730244844859,3.2145539378006107e-09,-0.618328865244488,3.398282502761726e-09,-0.6053377457591393,8.763885428587193e-09,-0.5768368989283811,6.07504916404966e-08
31,-0.39600791056001616,0.0004366674640254777,-0.3962441316157996,0.0004329190104999145,-0.3965116197259398,0.0004287099239092052,-0.38355547895028747,0.0006817776084545318,-0.47669860985945134,1.5355336770775774e-05
32,-0.3748336176605505,0.0009219694198796917,-0.37460751160558275,0.0009291089826341599,-0.37460751160558275,0.0009291089826341599,-0.3735834212139958,0.0009620780138202316,-0.395030935579571,0.00045248767250675905
33,-0.5721173089153405,8.225506945202021e-08,-0.5723288477621677,8.115359093977827e-08,-0.5723288477621677,8.115359093977827e-08,-0.5717552415629255,8.417330132445858e-08,-0.5715772244224459,8.513191045854011e-08
34,-0.6160041654831515,4.038888738219869e-09,-0.6160140217294968,4.035944492496475e-09,-0.6159855450790453,4.044456587264156e-09,-0.6102192576113579,6.169853481899047e-09,-0.6686532711614852,5.5383000132742255e-11
35,-0.8999580318821271,4.943424251776576e-28,-0.8999231768733641,5.003514952387497e-28,-0.8999231768733641,5.003514952387497e-28,-0.8945999269471621,3.0117002739002667e-27,-0.6804697982129488,1.8724417413789564e-11
36,-0.58292965840773,4.078931841908644e-08,-0.5829824171505974,4.064740991855259e-08,-0.5838745250329186,3.831765385818888e-08,-0.5784729205492147,5.463125332692152e-08,-0.6720871873624656,4.061862286583896e-11
37,-0.8063336530156089,2.569308489567397e-18,-0.8062737570761613,2.5955139834419755e-18,-0.8053403450337714,3.0388291818981672e-18,-0.8073876502311459,2.1478901860704874e-18,-0.6697074065419312,5.037677898478445e-11
38,-0.2671089463549007,0.020523242788247777,-0.26668189090879924,0.02073375989693394,-0.26628141158882507,0.020932848390270598,-0.2529828764024985,0.028534869889305387,-0.6169053092961735,3.777988845955725e-09
39,-0.6311843344348161,1.2740443831291576e-09,-0.8552649367698859,1.5572143741855671e-22,-0.8552649367698859,1.5572143741855671e-22,-0.8517056817468742,3.537994886286675e-22,-0.8399419553417153,4.609312771302e-21
