feature,people_fully_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_vaccinated_per_hundred,distributed_per_hundred,distributed_per_hundred,share_doses_used,share_doses_used
spearman,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value
StateFIPS,,,,,,,,,,
13,-0.4730352751296946,1.821756177803635e-05,-0.4739204995806573,1.7483587817833147e-05,-0.4735602602009618,1.7778882818553644e-05,-0.4680978824647046,2.286667721403881e-05,-0.4310903071486437,0.00011288958172195232
15,-0.01931843328654494,0.869331362923181,-0.08300430534852421,0.4789527604797188,-0.012346704980178612,0.9162697456526125,-0.07887678573797728,0.5011579035713394,-0.1628668256045787,0.1626786216699033
16,-0.18079113722534032,0.12060937716534105,-0.18078985114677595,0.12061206275551732,-0.18078985114677595,0.12061206275551732,-0.19408441370660476,0.09521733370269721,-0.1427618001892194,0.2217614676391718
17,-0.6685686707694803,5.580479070641707e-11,-0.6686066027455251,5.561529508132168e-11,-0.6686066027455251,5.561529508132168e-11,-0.6616847552574971,1.0262511399596329e-10,-0.7142115184705493,6.288534079829105e-13
18,-0.6788148772134872,2.186142586803788e-11,-0.6789950445309475,2.1496911737730012e-11,-0.6789950445309475,2.1496911737730012e-11,-0.6779690084907172,2.3653419871357925e-11,-0.5925340850036356,2.1405330927183084e-08
19,-0.28815162826417967,0.012177040397324944,-0.2883493553226477,0.01211526627112172,-0.28796202294532647,0.012236533631155847,-0.28842244249432336,0.012092501228591738,-0.3270201354131587,0.004187276559507961
20,-0.4431703732600849,6.839445567930254e-05,-0.4424991942777022,7.036046354812915e-05,-0.4423635211983844,7.07641809673018e-05,-0.4498226258556651,5.1479475081514865e-05,-0.3639697980293855,0.0013273874492864613
21,-0.2690391983913609,0.019594344987892823,-0.2688949631634838,0.019662490066363246,-0.2688949631634838,0.019662490066363246,-0.2651882966753154,0.021484586182833307,-0.38222087537782506,0.000714387822450934
22,-0.5013592579808036,4.610533152390023e-06,-0.5012093586831801,4.64569987658579e-06,-0.5002207133816453,4.884014316586526e-06,-0.5077437923911593,3.3245818954688607e-06,-0.39426854218659096,0.00046519504049423455
23,-0.620210986818561,2.9517894595112983e-09,-0.6206672108398453,2.8523029485077164e-09,-0.6200068262105888,2.9973729676802747e-09,-0.61980522648347,3.043042473724726e-09,-0.6159250818986931,4.062586672675527e-09
24,-0.6685479513797099,5.590855878360194e-11,-0.6685479513797099,5.590855878360194e-11,-0.6686570641344358,5.536416124069749e-11,-0.6658645863842436,7.102810031541194e-11,-0.7291756294390382,1.1891228024960696e-13
25,-0.5151391520588412,2.2574144791229327e-06,-0.5152707515946968,2.2417318614750965e-06,-0.5152670861568958,2.242167278868224e-06,-0.5170009678912857,2.044840793132571e-06,-0.49221143549250207,7.283013966826269e-06
26,-0.3324052553892662,0.0035716926660063963,-0.33208947790261883,0.0036054302140452613,-0.33208947790261883,0.0036054302140452613,-0.3183779153350902,0.005373340379123924,-0.4288231084840822,0.00012376418317798477
27,-0.5198227957258927,1.758221363314177e-06,-0.5191710506571853,1.820849317549041e-06,-0.5191175078019246,1.8260866015468957e-06,-0.5060762487162633,3.6233130569122825e-06,-0.6449328292719313,4.238652827875068e-10
28,-0.6024220331298772,1.0777504944789069e-08,-0.6015164726890498,1.148766810307442e-08,-0.6016830472375759,1.135378143828615e-08,-0.5954989135487556,1.746715471573942e-08,-0.6173594877057866,3.6526596074593096e-09
29,-0.24868058521927647,0.031445818882703876,-0.24672961503705654,0.03284584313306831,-0.24993537216829234,0.030572136535351003,-0.2451865404643716,0.03398983801623349,-0.20572776873306808,0.07660659351425529
30,-0.33713072704006514,0.0030993468058683913,-0.3374847584247848,0.003066314188192872,-0.3368149426908323,0.003129078496949671,-0.32419406735410744,0.004546625655227454,-0.42292003766730735,0.00015677444627584743
31,-0.2732206065868099,0.017704754427851885,-0.2731448335059706,0.01773755236190772,-0.27357420278550865,0.017552389593845644,-0.2662591643155821,0.020943955743217255,-0.34685727131898597,0.0022985963090587356
32,-0.25359670275150925,0.02813869296233513,-0.25287610415337713,0.028604261129346137,-0.25287610415337713,0.028604261129346137,-0.24764817951108603,0.03218030056909962,-0.27401350372847855,0.01736466353708751
33,-0.511622188849643,2.7167984066087612e-06,-0.5114213208330057,2.7455223125004866e-06,-0.5114213208330057,2.7455223125004866e-06,-0.5080271708656691,3.2761746508088553e-06,-0.5644500913040095,1.3323781665534414e-07
34,-0.3491487575316993,0.002139360479146807,-0.3500782601314632,0.0020776443476474755,-0.3482142874415117,0.0022030605896852773,-0.350558045203655,0.002046417967691506,-0.3603827955550329,0.0014930335126613708
35,-0.7653530285512818,1.2895027488795604e-15,-0.7649060922943537,1.3702997401692979e-15,-0.7649060922943537,1.3702997401692979e-15,-0.760324691435074,2.5354105402254618e-15,-0.5559205833480452,2.246531033015916e-07
36,-0.7439197025389185,2.0613670782522586e-14,-0.7438148217401175,2.088100233629513e-14,-0.7448196387984628,1.8451296470607696e-14,-0.7427579702817516,2.376784925165879e-14,-0.6320649364527864,1.1892625663617685e-09
37,-0.5757560920343233,6.514374231474444e-08,-0.5754093639619143,6.661580789624411e-08,-0.5756055842429851,6.577890728718463e-08,-0.5694171580566186,9.761956513768883e-08,-0.49463759230761356,6.4595978452206085e-06
38,-0.3123453217190349,0.0063686068438374216,-0.3132101692378197,0.006216622233487103,-0.3120798872248043,0.00641590520179409,-0.3000554728426325,0.008910343097004178,-0.44661816240098484,5.9073117979097366e-05
39,-0.15766355255277467,0.1767148192918686,-0.3042165857129432,0.007964907113538122,-0.3042165857129432,0.007964907113538122,-0.29628382739600095,0.009850645946872884,-0.30071868326798573,0.008753378827594851
40,-0.5382508480082184,6.337331729794518e-07,-0.5380492546451653,6.410585232243549e-07,-0.5380492546451653,6.410585232243549e-07,-0.5348924904630655,7.667158507891425e-07,-0.04660146030721966,0.6913543426102329
