Cluster_No,features,mean,cv
1,AGE_UNDER5,956.5714285714286,0.17581962158495312
2,AGE_UNDER5,16844.489164086688,0.14564517480948833
3,AGE_UNDER5,14143.162055335968,0.1449800667266013
4,AGE_UNDER5,2890.3949517446176,0.11732052999228168
0,AGE_5_9,3912.6544342507646,0.11728298310787327
1,AGE_5_9,1007.7901234567901,0.16416072271906904
2,AGE_5_9,16855.67801857585,0.14968484203936513
3,AGE_5_9,13903.08695652174,0.12524903029909196
4,AGE_5_9,3035.626577579807,0.09865173210428917
0,AGE_10_14,4001.544342507645,0.11396631158153836
1,AGE_10_14,1095.4797178130511,0.1523108014297307
2,AGE_10_14,16929.17182662539,0.16207539654870376
3,AGE_10_14,13920.96442687747,0.11499801188191573
4,AGE_10_14,3182.388270230141,0.0944998290000888
0,AGE_15_19,4360.37003058104,0.1428357894998268
1,AGE_15_19,1149.3227513227514,0.1619991548471824
2,AGE_15_19,18221.78947368421,0.24581908375195896
3,AGE_15_19,14408.743083003952,0.12761979691587855
4,AGE_15_19,3373.002227171492,0.11461140964831353
0,AGE_20_24,4142.908256880734,0.20368966921228532
1,AGE_20_24,903.1410934744268,0.23134165800547796
2,AGE_20_24,19083.890092879257,0.5583151137610479
3,AGE_20_24,13530.853754940712,0.31434715498379173
4,AGE_20_24,2943.800296956199,0.2644796266983048
0,AGE_25_34,7748.400611620795,0.14287616662540795
1,AGE_25_34,1849.6860670194003,0.15175318162582718
2,AGE_25_34,36175.30650154799,0.19096274914790246
3,AGE_25_34,26336.608695652172,0.146594223884786
4,AGE_25_34,5527.708240534521,0.11866344189472508
0,AGE_35_44,7471.590214067278,0.10927276009754729
1,AGE_35_44,2155.5185185185187,0.13403575476393986
2,AGE_35_44,35432.90712074303,0.1535393509574134
3,AGE_35_44,24732.225296442688,0.11610425311341298
4,AGE_35_44,6128.660727542688,0.09840908976391383
0,AGE_45_54,8630.284403669724,0.09713453418700145
1,AGE_45_54,3018.516754850088,0.10650098070584013
2,AGE_45_54,37523.49535603715,0.14976032263121322
3,AGE_45_54,24398.426877470356,0.14037896737810224
4,AGE_45_54,7466.242019302153,0.08019562814165059
0,AGE_55_64,7256.675840978593,0.13008000681794424
1,AGE_55_64,3089.3086419753085,0.11474458496285357
2,AGE_55_64,29674.84984520124,0.16309938913246325
3,AGE_55_64,18273.03162055336,0.17851164166855918
