STATE_FIPS,population,covid_cases,covid_deaths,POP13_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,Prevalence of obesity,Hypertension,Diabetes,CVD,HIV/AIDS,people_vaccinated
17,12671821,0.949562576680968,0.043313664231841666,193.80686274509804,0.7242745142943544,0.14728853887693014,0.003469351405768753,0.046318046948422016,0.00031960678737491635,0.16000683721779213,0.06797854862375345,0.02288400380655629,0.4965565722558739,0.5159760384872861,0.06593977298132604,0.06782016570467654,0.06940186418352974,0.07276712636644725,0.06936366919955703,0.14015010155209734,0.1361990514228381,0.147640895495604,0.1162585077551206,0.06704127212655545,0.041412043304588975,0.01853814065081885,0.3817108843314627,2.4344117647058816,0.046986222422175934,0.05925833390481131,0.08511894225778599,0.0989899557451135,0.009838128237449062,0.03139201540173271,0.2511859976557434,2.9526470588235294,0.4179916209359333,0.03628073660447066,0.2575509076398728,0.12415997669158994,0.22455541314859168,0.0009404805017368854,0.07509165415136466,0.002258108352935225,0.0003988377045414389,0.2897201593993476
18,6732219,0.5723020894002409,0.030000509490258714,177.7434782608696,0.8121996625481138,0.08784577566475482,0.002742335030990525,0.015221429962394272,0.00034877059109336765,0.05788685721602343,0.025743963468805756,0.018998342151376836,0.4738017286722253,0.489298550745304,0.06447725482489503,0.06607345958293989,0.06716522442303201,0.07063272897093811,0.0671436862050982,0.12289335804435357,0.12489641231219603,0.14063238287405685,0.1142480659051644,0.06718958489021228,0.04062568374558225,0.01712243763906076,0.3716685390062326,2.5291304347826085,0.04508364923957465,0.05472296727126672,0.07906932320532056,0.10530777444999932,0.011214281650671195,0.031331422819132884,0.24867372852843914,3.012717391304348,0.4152480779368586,0.043579538930626,0.25964321719183525,0.1120253218143973,0.2417498598901789,0.0012667756476727806,0.08590896998448802,0.0023173706975367263,0.0007948345114738543,0.2413568245477457
19,3155070,0.7164956720453112,0.01697902106767837,53.37373737373736,0.8816162557407601,0.028255474521959895,0.0035130757796182016,0.016828152782664092,0.0006348512077386557,0.04803189786597445,0.017791047425255224,0.016903903875349832,0.4780619764379237,0.4874807848954223,0.06406292094945595,0.06359478553566165,0.06367655868174081,0.06872652587739732,0.06762132060461416,0.12125975017986924,0.11554355370879253,0.1393712342356905,0.1181431790736814,0.07120475932388187,0.04867530672853535,0.02366286643402524,0.3871787313752151,2.385858585858585,0.04952663490825877,0.06060689620198601,0.08087015502033236,0.11727853898645672,0.010439704982773758,0.02526663433774845,0.2504014174011987,2.921010101010101,0.4235776068359815,0.036398875460766325,0.2791174205326665,0.10806131084254866,0.2432335891121275,0.0011503254827943596,0.07082822251170337,0.002027758404409411,-0.00016132764090812563,0.29205088952067626
20,2913314,0.4192798991114586,0.00818826944160499,49.23047619047618,0.8207299316173952,0.05761960434062378,0.009662535517970257,0.023259422087698062,0.0007681973175565697,0.10298992830844872,0.037801280603463966,0.02949664883359638,0.485841210387895,0.4934964099304092,0.07053547952606551,0.06949027808193692,0.06826727225420946,0.0699619059256915,0.07017918425545616,0.129653034310754,0.11899609860111199,0.13945081100080528,0.11370109778760545,0.06535134901352893,0.04339010487712619,0.020361004684012772,0.3817288490015151,2.401523809523808,0.04823681896287184,0.05794397720259471,0.08585343014862112,0.10921960351681967,0.011034512586010296,0.02804675362834216,0.2519821069750806,2.947333333333334,0.4233031523550157,0.041574303353500514,0.25865114436686193,0.1230777046346532,0.2409287155452519,-0.0006676002267520771,0.07294304699047202,0.0019842107284007145,-0.0002646470651635903,0.28479147802125004
21,4467673,0.2862311095731492,0.010654539846582326,115.7725,0.8526893082819624,0.07554715844243748,0.0022651613043300173,0.01095201014040195,0.0005597992511985546,0.029732704251184006,0.01243398968545818,0.016833819305933983,0.4778666657116579,0.4934145807000647,0.06320225316400731,0.06331886868174999,0.06360223767495965,0.06643167483385648,0.06490358627410735,0.1267362226376013,0.1290743525768336,0.14394450981528864,0.12064289396291986,0.07281508740679991,0.04111872108813693,0.015490838295461641,0.3849800556128437,2.474583333333333,0.0472740507194685,0.05869767102471465,0.08011463685905391,0.10976586692893593,0.010899186220656705,0.03235666531547855,0.25738342980786644,2.957916666666665,0.4313574426776535,0.0463773870648098,0.264404086870279,0.12057596874256465,0.25071351461935554,0.0012396065090260631,0.09336403984803722,0.002529578337537236,-0.0017942226299910487,0.2970794863455763
22,4648794,1.179691119890449,0.06205910608213658,126.32500000000003,0.6100919937514977,0.3124242545485991,0.006577835025600188,0.015086063181117512,0.00042226005282230186,0.041421495553470425,0.0148913890355219,0.015677829561817538,0.4773909104167662,0.49778071474021,0.06760032817113427,0.06590139292040043,0.06600335484859084,0.07029328466694804,0.07277349781470205,0.13518194181114498,0.12145063859573042,0.14076231383881496,0.11520450250107878,0.06711288992370924,0.0387577939568843,0.014129686107837859,0.3717867472725184,2.5717187499999987,0.04652798123556346,0.05335469801415163,0.07259904396710201,0.092647684539259,0.011756812627102858,0.04286531087417511,0.24955246457468325,3.0884374999999995,0.4226861848470808,0.05089943757456235,0.250021618510091,0.1217651287624274,0.26327236698378115,0.0012806922558839993,0.09484954592524426,0.0027410309351199483,0.0016942028405646714,0.24880022646733754
23,1344212,0.193961964333007,0.006872427861081437,85.80625000000002,0.9410502212448631,0.01168491279649341,0.006373994578236171,0.010095877733571788,0.0002544241533329564,0.012598459171618762,0.0031698868928413076,0.015578643844869709,0.4835963374824804,0.5046116237617281,0.05171803257224307,0.055137136106507015,0.05878016265291487,0.06569648240009761,0.05925107051566271,0.10759017178837862,0.12749179444908987,0.16260455939985655,0.14290974935501247,0.08380448917283881,0.05154916040029401,0.02167515243131292,0.4145320827369493,2.29625,0.0516376881027695,0.06704374012432562,0.0733969046549205,0.12752973489300795,0.011969094160742502,0.027522444376333496,0.26083757621565645,2.795625,0.5369911888898478,0.1224591061528985,0.2956505372664431,0.11888154547050615,0.23183768631733684,0.0006954205170017826,0.07902399323916168,0.001963993629725073,0.0011553237138189512,0.32426730307421747
24,6045680,0.9062085654550026,0.04047948287041325,804.4583333333335,0.5556503155972529,0.2812418123354197,0.0033776183985920524,0.05274063463497903,0.0005221910521231688,0.0778459991266491,0.034211536171282635,0.02724391631710577,0.4617779968506438,0.4932100276561115,0.0602889997485808,0.06068266927789761,0.06269418824681425,0.06719525347024652,0.06512054888780087,0.126047359436821,0.13159346839396066,0.14923118656627546,0.1150851517116354,0.06390629341943338,0.03691214222386895,0.01623076312342036,0.35668626192587105,2.5675000000000003,0.03873129242698919,0.05439355043601381,0.07796062643077371,0.09186956636805124,0.009393980495163488,0.033069398314168136,0.2393447883447354,3.0558333333333336,0.3934733561816041,0.03678709425573302,0.24079590716015406,0.11589035476571699,0.2317429966521549,0.001124567090054386,0.0802971708724246,0.002151385567545752,0.0005430323801458232,0.29073834539704385
25,6892503,1.430561872805859,0.09805276834845048,1538.0499999999995,0.7639076834641929,0.063024709601142,0.0027348555379663963,0.050746151289306665,0.00032252434275327843,0.09106329007038516,0.044272886061855914,0.024955085257126475,0.459430775728353,0.4905331198259906,0.0532588814252239,0.05595746566958332,0.05884843285523416,0.06713903497756911,0.06901237474978249,0.1226174294011914,0.1287121674085597,0.14688930857193674,0.11655693149498812,0.06622557871937089,0.0436800680391434,0.02106622224176036,0.3695428206560084,2.4107142857142856,0.04459686125635346,0.061643643825762574,0.07645524419793506,0.09455520004851647,0.007614069953977531,0.028558710819567287,0.23265727994605154,2.9992857142857146,0.4074360214279196,0.03789320077191116,0.23027309527467746,0.13926972538133098,0.18783858345799775,0.0006550973353221609,0.06797312964535525,0.0017045294159465727,0.0002289444052472665,0.3193127373321419
26,9986857,0.6246030157435918,0.05595514184292416,184.2771084337349,0.7813389137343211,0.1402204917923627,0.00620886030509899,0.023851247694845337,0.0002607426941228857,0.04369322600694092,0.014722249452455363,0.023062210663475004,0.4854494261808295,0.5042152901558519,0.05970707300605185,0.0638623342659257,0.0676104604281407,0.07405723342188639,0.06699525185951896,0.1165681054610074,0.12796558516858708,0.15120202482122252,0.12536446651834507,0.07256627385372595,0.04455255542359323,0.019213352108676432,0.3877604335377987,2.400120481927711,0.04837287647154656,0.059737012355338626,0.07746481200241477,0.10849229141861147,0.010467657642439458,0.03288081525549029,0.2557434235816133,2.8991566265060253,0.4538197553043966,0.06605932176659783,0.27970181209163203,0.1080586214461667,0.2397810442264268,0.001127031073740217,0.08055567432276241,0.002503432156483265,0.00043266865641512634,0.26765017262187696
