FIPS,STATE_FIPS,population,covid_cases,covid_deaths
17035,17,10766,1397,17
17037,17,104897,42246,1119
17039,17,15638,766,0
17041,17,19465,4128,7
17043,17,922921,755060,37724
17045,17,17161,620,0
17047,17,6395,218,0
17049,17,34008,1546,112
17051,17,21336,2404,267
17053,17,12961,2362,113
17055,17,38469,2473,0
17057,17,34340,1116,0
17059,17,4828,540,0
17061,17,12969,690,0
17063,17,51054,12450,254
17065,17,8116,386,0
17067,17,17708,1580,57
17069,17,3821,200,0
17071,17,6646,720,0
17073,17,48913,8365,47
17075,17,27114,12791,372
17077,17,56750,27499,1387
17079,17,9610,4601,639
17081,17,37684,10462,1495
17083,17,21773,2934,95
17085,17,21235,3773,55
17087,17,12417,1633,0
17089,17,532403,591100,19275
17091,17,109862,99419,4993
17093,17,128990,77602,1729
17095,17,49699,11107,7
17097,17,696535,819089,31713
17099,17,108669,18139,1217
17101,17,15678,818,0
17103,17,34096,8198,113
17105,17,35648,4024,169
17107,17,28618,1703,0
17109,17,29682,7995,960
17111,17,307774,165870,7736
17113,17,171517,24349,1075
17115,17,104009,20418,1900
17117,17,44926,5314,189
17119,17,262966,79422,5398
17121,17,37205,6008,0
17123,17,11438,758,0
17125,17,13359,2009,0
17127,17,13772,1036,0
17129,17,12196,2170,0
17131,17,15437,1960,0
17133,17,34637,12054,1207
17135,17,28414,5106,140
17137,17,33658,8024,235
17139,17,14501,1522,0
17141,17,50643,22144,307
17143,17,179179,38289,1644
17145,17,20916,4464,30
17147,17,16344,1530,0
17149,17,15561,304,0
17151,17,4177,116,0
17153,17,5335,5526,0
17155,17,5739,113,0
17157,17,31782,26532,476
17159,17,15513,486,0
17161,17,141879,79557,2309
17163,17,259686,146406,9700
17165,17,23491,1447,0
17167,17,194672,39054,2643
17169,17,6768,1011,0
17171,17,4951,58,0
17173,17,21634,1725,91
17175,17,5342,322,0
17177,17,44498,19624,332
17179,17,131803,11068,577
17181,17,16653,14648,1163
17183,17,75758,5689,133
17185,17,11520,1163,0
17187,17,16844,11708,0
17189,17,13887,2062,0
17191,17,16215,1103,76
17193,17,13537,741,0
17195,17,55175,15981,1196
17197,17,690743,568487,27626
17199,17,66597,9620,237
17201,17,282572,220353,6514
17203,17,38459,3071,181
0,18,0,1753,3163
18001,18,35777,2914,108
18003,18,379299,189081,8797
18005,18,83779,49998,3481
18007,18,8748,3251,0
18009,18,11758,2724,168
18011,18,67843,36611,3582
18013,18,15092,3657,113
18015,18,20257,8762,188
18017,18,37689,148131,677
18019,18,118302,55314,3700
18021,18,26225,4929,264
18023,18,32399,20969,158
18025,18,10577,2762,0
18027,18,33351,10861,1519
18029,18,49458,20344,1963
18031,18,26559,25523,3185
18033,18,43475,9156,234
18035,18,114135,37081,3641
18037,18,42736,21374,384
18039,18,206341,196553,3457
18041,18,23102,7762,648
18043,18,78522,34570,3661
18045,18,16346,2484,222
18047,18,22758,13174,909
18049,18,19974,5553,90
18051,18,33659,4783,136
18053,18,65769,24793,2102
18055,18,31922,16421,2347
18057,18,338011,136925,9155
18059,18,78168,37734,2736
18061,18,40515,19714,1818
18063,18,170311,123316,7696
18065,18,47972,18659,1037
18067,18,82544,43271,3535
18069,18,36520,4959,219
18071,18,44231,37806,193
18073,18,33562,8677,160
18075,18,20436,4969,0
18077,18,32308,6084,101
18079,18,27735,14608,632
18081,18,158167,113641,10394
