,State,stateFIPS,County,countyFIPS,Total Unauthorized Population
193,Texas,48.0,Potter County,48375,7000.0
192,Texas,48.0,Smith County,48423,7000.0
191,New York,36.0,Monroe County,36055,7000.0
190,New York,36.0,Erie County,36029,7000.0
189,Massachusetts,25.0,Bristol County,25005,7000.0
194,Virginia,51.0,Chesterfield County,51041,7000.0
174,Washington,53.0,Grant County,53025,6709.297855397204
150,South Carolina,45.0,Charleston County,45019,6667.661527797517
175,California,6.0,Sutter County,6101,4968.9362840826925
117,Washington,53.0,Franklin County,53021,4491.9527599258545
11,Florida,12.0,Monroe County,12087,4148.6460148582955
175,California,6.0,Yuba County,6115,4031.0637159173075
145,Idaho,16.0,Canyon County,16027,3852.9662830940947
150,South Carolina,45.0,Berkeley County,45015,3693.6912340018102
156,New Jersey,34.0,Salem County,34033,3532.6928158858395
174,Washington,53.0,Kittitas County,53037,3290.702144602795
117,Washington,53.0,Walla Walla County,53071,2866.2604197884407
150,South Carolina,45.0,Dorchester County,45035,2638.6472382006727
187,Texas,48.0,Waller County,48473,2389.403687084392
99,New Mexico,35.0,Valencia County,35061,2232.2253373537496
157,Alabama,1.0,Limestone County,1083,1913.5927315959607
157,Alabama,1.0,Marshall County,1095,1872.1733104935297
31,Colorado,8.0,Broomfield County and City,8014,1815.6839217360389
187,Texas,48.0,Wharton County,48481,1797.3076715142997
128,South Carolina,45.0,Laurens County,45059,1712.9188626731072
187,Texas,48.0,Matagorda County,48321,1584.8191598637618
84,Louisiana,22.0,St. Bernard Parish,22087,1428.3052544122686
146,Kansas,20.0,Butler County,20015,1408.9218668506694
187,Texas,48.0,Austin County,48015,1298.891712169541
187,Texas,48.0,Colorado County,48089,929.5777693680056
178,North Carolina,37.0,Anson County,37007,832.4246609031233
146,Kansas,20.0,Harvey County,20079,724.9595874191343
84,Louisiana,22.0,Plaquemines Parish,22075,701.3038054906739
31,Colorado,8.0,Elbert County,8039,688.730796055951
153,Colorado,8.0,Teller County,8119,408.5005048331235
145,Idaho,16.0,Payette County,16075,401.4913941169492
145,Idaho,16.0,Gem County,16045,303.61204668891423
31,Colorado,8.0,Clear Creek County,8019,249.941588601995
145,Idaho,16.0,Owyhee County,16073,198.1893345849731
145,Idaho,16.0,Washington County,16087,170.882354458193
31,Colorado,8.0,Gilpin County,8047,160.8644677981706
