countyFIPS,StateFIPS,population,SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,HOUSEHOLDS,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,Prevalence of obesity,Hypertension,Diabetes,CVD,HIV/AIDS
40147,40.0,51527.0,424.25,39929.0,1231.0,5247.0,554.0,16.0,2556.0,891.0,3108.0,24664.0,26311.999999999996,3311.0,3329.0,3230.0,3409.0,2876.0,5786.0,5788.0,7514.999999999999,6649.0,4534.0,3219.0,1330.0,21036.0,2443.0,3592.0,4113.0,6850.0,538.0,1572.0,14122.999999999998,23451.0,2415.0,15478.0,5558.0,14740.0,111.30765,5855.0,149.204022,41.0
40149,40.0,10916.0,1008.95,10263.0,80.0,353.0,25.0,2.0,944.0,416.0,490.0,5675.0,5954.0,804.0000000000001,884.0,833.0,747.0,591.0,1445.0,1279.0,1700.0,1359.0,1004.0,670.0,313.0,4599.0,558.0,687.0,1016.0,1502.0,161.0,320.0,3186.0,5479.0,880.0,3353.0,1246.0,2382.0,24.62856,887.9999999999999,32.64168,10.234816126679862
40151,40.0,8793.0,1290.06,7850.0,290.0,213.0,77.0,4.0,424.0,203.0,241.0,4746.000000000001,4132.0,533.0,446.0,432.0,702.0,1218.0,1137.0,841.0,1067.0,979.0,774.0,503.0,246.0,3533.0,537.0,604.0,631.0,1060.0,91.0,175.0,2113.0,4478.0,945.0000000000001,2414.0,1119.0,2381.0,11.866400000000002,792.0,21.04004,8.0
40153,40.0,20211.0,1246.13,17419.0,317.0,562.0,115.0,8.0,2128.0,1129.0,531.0,10518.999999999998,9562.0,1466.0,1359.0,1287.9999999999998,1205.0,1261.0,2973.0,2484.0,3007.0,2190.0,1640.0,883.0,325.0,7654.0,1056.0,1090.0,1799.0,2333.0,256.0,476.0,5163.000000000001,8838.0,1184.0,5448.0,2206.0,4513.0,34.72563,1478.0,50.8875,24.0
41001,41.0,16124.0,3088.35,15264.0,57.0,181.0,78.0,9.0,528.0,164.0,381.0,8140.0,7994.0,852.0,848.0,910.0,979.0,685.0,1529.0,1668.0,2418.0,2703.0,2007.0,1094.0,441.0,7040.0,1039.0,1160.0,1099.0,2473.0,188.0,395.0,4430.0,8826.0,1786.0,4810.0,2230.0,3876.0,10.906038,1569.0,29.963076,10.0
41003,41.0,93053.0,678.46,74506.0,759.0000000000001,627.0,4429.0,213.0,5467.0,1985.0,3060.0000000000005,42868.0,42711.0,3778.0,4109.0,4466.0,8789.0,13763.0,10414.0,8595.0,10738.0,10647.0,5384.0,3285.0,1611.0,34317.0,4486.0,5202.0,5988.0,9542.0,643.0,1546.0000000000002,19256.0,36245.0,1928.0,19178.0,15139.0,17175.0,71.269044,3818.0,131.873742,53.0
41005,41.0,418187.0,1879.5800000000002,331571.0,3082.0,3122.0,13729.0,867.0,29138.0,11756.0,11865.0,184925.0,191067.0,21477.0,24038.0,26876.000000000004,26014.0,19774.0,42801.0,49849.0,59872.0,54060.0,28451.000000000004,14932.0,7848.0,145790.0,14825.0,20254.0,34062.0,45794.0,3942.0,9060.0,100866.0,156945.0,11155.0,100982.0,44808.0,88059.0,372.856575,26134.0,665.787997,547.0
41007,40.99999999999999,40224.0,936.75,33680.0,195.0,362.0,457.0,86.0,2838.0,1208.0,1051.0,18407.0,18632.0,2076.0,2034.0,2111.0,2378.0,2291.0,4251.0,4085.0,5494.0,6159.0,3469.9999999999995,1893.0,796.9999999999999,15742.0,2282.0,2681.0,2540.0000000000005,4771.0,478.0,983.0,9579.0,21546.0,5804.000000000001,9680.0,6062.000000000001,8941.0,43.090496,2422.0,82.27392,60.0
41009,41.0,52354.0,688.47,45651.0,207.0,656.0,457.0,95.0,1987.0,590.0,1694.9999999999998,24722.0,24629.0,2800.0,3128.0,3574.0,3340.0000000000005,2387.0,5374.0,6591.0,7891.0,7383.0,4063.0,2000.0000000000002,820.0,19183.0,2203.0,2271.0,4116.0,6533.0,600.0,1274.0,13516.0,20698.0,1515.0,14282.000000000002,4901.0,11861.0,40.341685,4654.0,105.08637699999998,53.0
41011,41.0,64487.0,1610.71,56618.0,258.0,1589.0,660.0,117.0,3391.0,1072.0,2729.0,31086.0,31957.0,3242.0,3210.0,3277.0,3801.0,3246.0,6499.0,6339.0,9492.0,10451.0,7553.0,4323.0,1610.0,27133.0,3626.0,4452.0,3846.0,8964.0,788.0,1715.0,16857.0,30593.0,3460.0,17800.0,9333.0,19493.0,72.860544,6536.0,140.977563,58.0
41013,41.0,24404.0,2987.34,19441.0,35.0,302.0,97.00000000000001,11.0,1463.0,670.0,422.0,10398.0,10580.0,1131.0,1249.0,1397.0,1230.0,882.0,2132.0,2307.0,3077.0,3370.0,2532.0,1208.0,463.00000000000006,8558.0,1002.9999999999999,1062.0,1579.0,3311.0,245.0,505.0,6025.0,10202.0,1644.0,6093.0,2465.0,5765.0,16.65232,3158.0,46.06584,19.0
41015,41.0,22925.0,1634.49,20574.0,67.0,426.0,160.0,21.0,1201.0,294.0,822.0,11041.0,11323.0,851.0,893.0,1046.0,1110.0,820.0,1692.0,1984.0,3346.0,4361.0,3561.0,1927.0,773.0,10417.0,1576.0,1794.0,1154.0,3912.0,245.0,534.0,6347.000000000001,12612.999999999998,2196.0,7217.0,3200.0,6450.0,21.8975,2225.0,55.06645,13.0
41017,41.0,197692.0,3054.62,145374.0,568.0,1449.0,1476.0,210.0,11718.0,4663.0,3993.0,77971.0,79762.0,9615.0,10044.0,10346.0,9655.0,8304.0,19928.0,21229.0,22800.0,22321.0,13703.0,6877.000000000001,2911.0,64089.99999999999,6923.999999999999,8528.0,13279.000000000002,20971.0,1862.0,4232.0,43062.0,80139.0,16049.0,42160.0,21930.0,31985.0,169.995441,11755.0,290.931795,122.00000000000001
41019,41.0,110980.0,5069.94,99471.0,317.0,1952.9999999999998,1040.0,122.0,5055.0,1279.0,3485.0,53151.0,54516.0,5648.0,5824.0,6351.0,6824.0,5564.0,10808.0,11277.0,15661.0,17140.0,12196.0,7384.000000000001,2990.0,44581.0,5393.0,6458.0,7087.000000000001,15758.0,1314.0,3059.0,29839.0,48915.0,4334.0,30510.0,14071.0,26740.0,177.621217,12023.0,216.81360600000002,80.0
41021,41.0,1912.0,1222.85,1781.0,3.0,19.0,3.0,13.0,88.0,26.0,26.0,964.9999999999999,906.0,94.0,85.0,97.0,102.0,63.00000000000001,170.0,187.0,330.0,328.0,219.0,122.99999999999999,73.0,864.0,158.0,150.0,127.0,291.0,25.0,34.0,508.0,1156.0,292.0,562.0,302.0,523.0,2.203571236423862,242.00000000000003,4.593525622512591,1.792686738201896
