Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Federal Entities,3/15/2021,182520,182520
Connecticut,3/8/2021,45630,45630
Maine,3/8/2021,17550,17550
Massachusetts,3/8/2021,87750,87750
New Hampshire,3/8/2021,17550,17550
Rhode Island,3/8/2021,14040,14040
Vermont,3/8/2021,8190,8190
New Jersey,3/8/2021,111150,111150
New York,3/8/2021,140400,140400
New York City,3/8/2021,106470,106470
Puerto Rico,3/8/2021,43290,43290
U.S. Virgin Islands,3/8/2021,2340,2340
Delaware,3/8/2021,12870,12870
District of Columbia,3/8/2021,9360,9360
Maryland,3/8/2021,74880,74880
Pennsylvania,3/8/2021,141570,141570
Philadelphia,3/8/2021,19890,19890
Virginia,3/8/2021,105300,105300
West Virginia,3/8/2021,23400,23400
Alabama,3/8/2021,60840,60840
Florida,3/8/2021,262080,262080
Georgia,3/8/2021,125190,125190
Kentucky,3/8/2021,54990,54990
Mississippi,3/8/2021,36270,36270
North Carolina,3/8/2021,126360,126360
South Carolina,3/8/2021,62010,62010
Tennessee,3/8/2021,83070,83070
Chicago,3/8/2021,33930,33930
Illinois,3/8/2021,125190,125190
Indiana,3/8/2021,80730,80730
Michigan,3/8/2021,124020,124020
Minnesota,3/8/2021,67860,67860
Ohio,3/8/2021,143910,143910
Wisconsin,3/8/2021,72540,72540
Arkansas,3/8/2021,37440,37440
Louisiana,3/8/2021,57330,57330
New Mexico,3/8/2021,25740,25740
Oklahoma,3/8/2021,47970,47970
Texas,3/8/2021,328770,328770
Iowa,3/8/2021,38610,38610
Kansas,3/8/2021,35100,35100
Missouri,3/8/2021,76050,76050
Nebraska,3/8/2021,23400,23400
Colorado,3/8/2021,69030,69030
Montana,3/8/2021,14040,14040
North Dakota,3/8/2021,10530,10530
South Dakota,3/8/2021,10530,10530
Utah,3/8/2021,35100,35100
Wyoming,3/8/2021,8190,8190
Arizona,3/8/2021,85410,85410
California,3/8/2021,479700,479700
Hawaii,3/8/2021,18720,18720
Nevada,3/8/2021,36270,36270
American Samoa,3/8/2021,0,0
Guam,3/8/2021,0,0
Marshall Islands,3/8/2021,0,0
Micronesia,3/8/2021,0,0
Mariana Islands,3/8/2021,0,0
Palau,3/8/2021,0,0
Alaska,3/8/2021,0,0
Idaho,3/8/2021,19890,19890
